gene,top_cluster,glm_coef,pearson,max_gg_corr,max_gc_corr,cell_type
TCL1A,c8,1.87839818449647,0.871582760123161,0.880973075929252,0.871582760123161,Dendritic
TENT5C,c1,1.39769358773501,0.697377308660507,0.815298919302644,0.697377308660507,Tumor
TFAP2A,c1,1.08560132785187,0.851078251913294,0.946402386538812,0.851078251913294,Tumor
THAP2,NoSig,0.0,0.0,0.909864197074421,0.759973653481976,
TIFA,NoSig,0.0,0.0,0.834968438613075,0.57339653781543,
TIGIT,c5,0.351552268141464,0.906815516981056,0.90325319418958,0.906815516981056,T_Cells
TIMP4,NoSig,0.0,0.0,0.523009962427139,0.290516331847139,
TMEM147,c1,1.39186537437167,0.869891455247289,0.972435095050389,0.869891455247289,Tumor
TNFRSF17,c6,0.39555166518706,0.575217435984756,0.830183505392439,0.575217435984756,B_Cells
TOMM7,c1,3.12875315521592,0.732604321444403,0.939560091583363,0.732604321444403,Tumor
TOP2A,c1,1.25953650877271,0.821132876504102,0.887161697768493,0.821132876504102,Tumor
TPD52,c1,3.49809308479225,0.853018125662452,0.944035966546078,0.853018125662452,Tumor
TPSAB1,c3,0.26999126764504,0.294980482228342,0.66028858433033,0.410074458408542,Macrophages
TRAC,c5,2.81055420025646,0.918707010905138,0.984022698410764,0.918707010905138,T_Cells
TRAF4,c1,1.4103624863994,0.785991745916276,0.862395092750182,0.785991745916276,Tumor
TRAPPC3,c1,0.85902742352565,0.714072938446776,0.935320460432682,0.714072938446776,Tumor
TRIB1,c1,0.410541376518408,0.600866293746123,0.820904417647872,0.600866293746123,Tumor
TUBA4A,c1,0.5610703357768,0.688744963071555,0.926834341521223,0.688744963071555,Tumor
TUBB2B,c1,0.23043176325201,0.737622411581181,0.871991183065934,0.737622411581181,Tumor
UCP1,NoSig,0.0,0.0,0.361026869932417,0.225264602917584,
USP53,c1,1.39312081220114,0.868501588163792,0.9229002507521,0.868501588163792,Tumor
VOPP1,c1,1.04754001051293,0.719929656081053,0.930630109425219,0.719929656081053,Tumor
VWF,c7,4.89113194045177,0.702883108045015,0.862444536764115,0.702883108045015,Endothelial
WARS,c1,0.674831770184213,0.502574470310016,0.769632538453348,0.579685172976593,Tumor
ZEB1,c2,1.18975082339902,0.766348461603591,0.877913901946981,0.766348461603591,Stromal
ZEB2,c2,2.43872203212825,0.769424018689514,0.892719453633201,0.769424018689514,Stromal
ZNF562,c1,1.14933068185706,0.887203276007541,0.956522048418988,0.887203276007541,Tumor
